epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,36310.3,1.01537,0.46179,1.15649,0.97107,0.98659,0.97958,0.69787,1.1169,0.40091,1.28507,0.000410409,0.000410409,0.000410409
74,36766.1,1.01426,0.45885,1.15767,0.97555,0.98575,0.97986,0.69114,1.12325,0.39761,1.28995,0.000396262,0.000396262,0.000396262
75,37254.6,1.00485,0.45624,1.1499,0.97533,0.98724,0.97854,0.68925,1.11923,0.39783,1.29613,0.000382115,0.000382115,0.000382115
76,37797.9,1.01667,0.45965,1.16198,0.97558,0.98741,0.97882,0.69552,1.11365,0.38805,1.28719,0.000367967,0.000367967,0.000367967
77,38267.3,1.01122,0.45314,1.15054,0.97519,0.98866,0.97809,0.699,1.11346,0.3824,1.28913,0.00035382,0.00035382,0.00035382
78,38764.9,0.99567,0.45206,1.14942,0.9731,0.98726,0.97612,0.68931,1.12511,0.39713,1.29333,0.000339673,0.000339673,0.000339673
79,39242.1,1.00568,0.44699,1.15202,0.97673,0.98908,0.97766,0.69458,1.1201,0.38939,1.28946,0.000325526,0.000325526,0.000325526
80,39784.8,0.99127,0.45063,1.14713,0.97571,0.98863,0.97778,0.69571,1.1153,0.39327,1.28899,0.000311379,0.000311379,0.000311379
81,40261.7,1.00279,0.44687,1.1491,0.97444,0.9877,0.97686,0.69389,1.13108,0.39409,1.28941,0.000297232,0.000297232,0.000297232
82,40754.2,0.99605,0.44266,1.14592,0.97498,0.9877,0.97605,0.6926,1.12531,0.3943,1.28903,0.000283085,0.000283085,0.000283085
83,41242.5,0.99692,0.44722,1.15566,0.97553,0.98633,0.97563,0.69084,1.11993,0.39144,1.28671,0.000268938,0.000268938,0.000268938
84,41785.8,0.98331,0.4403,1.13798,0.97379,0.98818,0.97538,0.69028,1.12705,0.39762,1.29678,0.000254791,0.000254791,0.000254791
85,42260.6,0.99338,0.46257,1.15362,0.9713,0.98775,0.97697,0.69323,1.12561,0.39617,1.2912,0.000240644,0.000240644,0.000240644
86,42755.1,0.99052,0.44292,1.13825,0.97346,0.98892,0.97668,0.68718,1.12467,0.38993,1.29662,0.000226497,0.000226497,0.000226497
87,43240,0.99479,0.44909,1.14745,0.97268,0.98825,0.97693,0.69032,1.11808,0.3909,1.28905,0.000212349,0.000212349,0.000212349
