epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,10039.6,0.92402,0.78388,1.18194,0.86321,0.84436,0.89711,0.67292,1.01092,0.69369,1.25608,0.000231088,0.000231088,0.000231088
82,10163.2,0.91915,0.78235,1.17879,0.87634,0.83923,0.89645,0.67336,1.01227,0.69229,1.25517,0.000220089,0.000220089,0.000220089
83,10287.3,0.90936,0.78341,1.17604,0.8703,0.83485,0.89467,0.67244,1.01397,0.68974,1.26472,0.00020909,0.00020909,0.00020909
84,10411.1,0.90867,0.77862,1.1754,0.87087,0.83455,0.89375,0.6732,1.01019,0.69262,1.25744,0.000198091,0.000198091,0.000198091
85,10534.5,0.9099,0.77006,1.17631,0.8736,0.83401,0.89579,0.67687,1.00503,0.68824,1.25918,0.000187092,0.000187092,0.000187092
86,10658.3,0.90473,0.77244,1.17427,0.86011,0.8481,0.89557,0.67746,0.99871,0.69527,1.24609,0.000176094,0.000176094,0.000176094
87,10782.1,0.89876,0.75537,1.17203,0.86758,0.84048,0.89575,0.67542,1.00631,0.69119,1.25791,0.000165095,0.000165095,0.000165095
88,10905.7,0.90448,0.76997,1.17715,0.87706,0.82822,0.89465,0.67651,1.00689,0.68378,1.2571,0.000154096,0.000154096,0.000154096
89,11029.4,0.90169,0.76714,1.17282,0.86309,0.84092,0.89354,0.67468,1.00481,0.68493,1.25656,0.000143097,0.000143097,0.000143097
90,11152.6,0.90998,0.77528,1.17653,0.86803,0.83455,0.89043,0.67326,0.99983,0.69921,1.24907,0.000132098,0.000132098,0.000132098
91,11300.3,0.81641,0.55019,1.14742,0.86705,0.83818,0.89052,0.67224,0.99711,0.69331,1.2434,0.000121099,0.000121099,0.000121099
92,11423.4,0.80949,0.54064,1.1408,0.86336,0.83968,0.89095,0.67556,0.99853,0.68511,1.25254,0.0001101,0.0001101,0.0001101
93,11546.6,0.80269,0.53706,1.1368,0.86162,0.83996,0.88984,0.6757,0.99229,0.68821,1.24739,9.91012e-05,9.91012e-05,9.91012e-05
94,11669.8,0.79937,0.52671,1.1388,0.86031,0.84174,0.88941,0.67533,0.99934,0.68281,1.25307,8.81023e-05,8.81023e-05,8.81023e-05
95,11792.8,0.7853,0.52008,1.12883,0.86003,0.83602,0.88851,0.67565,0.99085,0.69532,1.24803,7.71034e-05,7.71034e-05,7.71034e-05
96,11915.9,0.79312,0.52626,1.13445,0.86882,0.83281,0.88746,0.6751,0.99132,0.68874,1.24539,6.61045e-05,6.61045e-05,6.61045e-05
97,12039.1,0.78118,0.52013,1.12503,0.86331,0.83882,0.8873,0.67603,0.99044,0.68918,1.24506,5.51056e-05,5.51056e-05,5.51056e-05
98,12162.1,0.7797,0.50731,1.12471,0.86759,0.83452,0.88812,0.67874,0.98458,0.68721,1.24084,4.41067e-05,4.41067e-05,4.41067e-05
99,12285.1,0.77779,0.51177,1.12235,0.87466,0.82796,0.88757,0.67799,0.98199,0.68841,1.24007,3.31078e-05,3.31078e-05,3.31078e-05
100,12407.9,0.77583,0.50868,1.12099,0.86985,0.82753,0.88648,0.67796,0.98274,0.68996,1.24039,2.21089e-05,2.21089e-05,2.21089e-05
