epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,5369.96,0.95575,0.45634,1.12118,0.96736,0.98627,0.97782,0.68813,1.12119,0.38991,1.23376,0.000424556,0.000424556,0.000424556
73,5446.44,0.95989,0.45862,1.12147,0.97159,0.98485,0.97923,0.69617,1.11812,0.38634,1.21982,0.000410409,0.000410409,0.000410409
74,5523.64,0.95732,0.44399,1.11673,0.9733,0.98576,0.97644,0.69169,1.1202,0.38619,1.21708,0.000396262,0.000396262,0.000396262
75,5600.81,0.95189,0.44439,1.11659,0.97039,0.98849,0.97767,0.68954,1.12955,0.38656,1.23068,0.000382115,0.000382115,0.000382115
76,5678.33,0.95443,0.44612,1.11496,0.97041,0.98571,0.97652,0.69364,1.129,0.39343,1.24093,0.000367967,0.000367967,0.000367967
77,5754.22,0.93913,0.4448,1.10904,0.97451,0.98452,0.97721,0.68949,1.13268,0.39042,1.2268,0.00035382,0.00035382,0.00035382
78,5830.49,0.9414,0.44118,1.10952,0.97049,0.98259,0.97652,0.68677,1.12811,0.39673,1.23718,0.000339673,0.000339673,0.000339673
79,5904.92,0.94442,0.44488,1.11398,0.97134,0.98332,0.97701,0.68945,1.13348,0.39241,1.25048,0.000325526,0.000325526,0.000325526
80,5981.97,0.93622,0.43727,1.111,0.96973,0.9854,0.97799,0.69137,1.13273,0.39711,1.25182,0.000311379,0.000311379,0.000311379
81,6057.89,0.94248,0.44711,1.11244,0.9707,0.98393,0.97891,0.69385,1.12492,0.39163,1.24117,0.000297232,0.000297232,0.000297232
82,6134.43,0.94582,0.43355,1.10853,0.9716,0.98312,0.97678,0.69249,1.13433,0.39147,1.22677,0.000283085,0.000283085,0.000283085
83,6214.97,0.93997,0.43815,1.10836,0.975,0.9831,0.97847,0.6934,1.13627,0.39243,1.22782,0.000268938,0.000268938,0.000268938
84,6291.63,0.93607,0.43841,1.10978,0.97408,0.98387,0.97735,0.69151,1.14008,0.39151,1.23053,0.000254791,0.000254791,0.000254791
85,6368.53,0.92851,0.43663,1.10338,0.97274,0.98357,0.97838,0.68776,1.14288,0.38646,1.22902,0.000240644,0.000240644,0.000240644
86,6445.48,0.92665,0.43333,1.10107,0.97345,0.98621,0.97986,0.69395,1.14094,0.3833,1.23637,0.000226497,0.000226497,0.000226497
87,6521.35,0.93052,0.43383,1.10517,0.97335,0.98445,0.97835,0.69198,1.13762,0.38473,1.24886,0.000212349,0.000212349,0.000212349
88,6599.81,0.92882,0.43458,1.10461,0.97241,0.98457,0.97834,0.69214,1.13798,0.38745,1.24016,0.000198202,0.000198202,0.000198202
89,6673.8,0.92226,0.42396,1.10215,0.9693,0.98528,0.97948,0.69458,1.14323,0.38912,1.23224,0.000184055,0.000184055,0.000184055
90,6748.11,0.92176,0.42739,1.10077,0.97192,0.98311,0.97915,0.69217,1.14595,0.38578,1.2257,0.000169908,0.000169908,0.000169908
91,6827.47,0.9024,0.32283,1.10952,0.97354,0.98555,0.97769,0.69272,1.14372,0.3907,1.22848,0.000155761,0.000155761,0.000155761
92,6900.72,0.89388,0.3183,1.11023,0.9747,0.98695,0.9797,0.69325,1.14079,0.387,1.22844,0.000141614,0.000141614,0.000141614
93,6974.26,0.88771,0.31674,1.10165,0.97216,0.98574,0.9793,0.69254,1.14223,0.38679,1.21309,0.000127467,0.000127467,0.000127467
94,7049.65,0.88635,0.31485,1.09809,0.97181,0.98607,0.97989,0.69026,1.14166,0.38438,1.21216,0.00011332,0.00011332,0.00011332
95,7124.13,0.88388,0.31295,1.09843,0.97214,0.98466,0.97946,0.69131,1.14206,0.38873,1.2148,9.91726e-05,9.91726e-05,9.91726e-05
96,7197.4,0.88105,0.31229,1.09688,0.97254,0.98497,0.97953,0.68924,1.14257,0.38443,1.21844,8.50255e-05,8.50255e-05,8.50255e-05
97,7272.17,0.8775,0.3095,1.09755,0.97406,0.98456,0.97968,0.69067,1.14366,0.38428,1.22099,7.08784e-05,7.08784e-05,7.08784e-05
98,7347.74,0.87251,0.30927,1.09913,0.97094,0.98377,0.9798,0.69015,1.14459,0.38644,1.2215,5.67313e-05,5.67313e-05,5.67313e-05
99,7423.74,0.87375,0.30678,1.09489,0.97027,0.98249,0.9797,0.68836,1.1447,0.38456,1.21936,4.25842e-05,4.25842e-05,4.25842e-05
100,7500.58,0.87317,0.30731,1.0935,0.97291,0.97992,0.98002,0.68862,1.14663,0.3863,1.21871,2.84371e-05,2.84371e-05,2.84371e-05
